python : [synapse] connecting to prod-synapse-dataplatform-we.sql.azuresynapse.net / sql_dp_prod_we...
At C:\Users\guyman\AppData\Local\Temp\2\ps-script-c32c4adc-4b9c-44ab-b73b-50b8d5a0b39c.ps1:76 char:1
+ python tools/parity_check_ddr_2025.py 2>&1 | Out-File -FilePath ddr_p ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([synapse] conne...l_dp_prod_we...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[synapse-prod] 487 dateids in 11.6s

[uc] connecting (profile=name-of-profile)...

[uc] 487 dateids in 14.2s

DateID,syn_deposits,uc_deposits,diff_deposits,syn_tp_equity,uc_tp_equity,diff_tp_equity,syn_sdrt,uc_sdrt,diff_sdrt,syn_upnl_change,uc_upnl_change,diff_upnl_change,syn_funded,uc_funded,diff_funded,mismatch_metrics
20250913,12235975.930000,,,19594055500.444500,19594055500.444500,0.000000,,,,18005033.140000,18005033.140000,0.000000,3506197,3506197,0,deposits
20250914,11481269.130000,,,19422665556.214500,19422665556.214500,0.000000,,,,-178424099.930000,-178424099.930000,0.000000,3506404,3506404,0,deposits
20250915,49594282.960000,,,19428170816.614500,19428170816.614500,0.000000,10085.780000,10085.780000,0.000000,-12927757.750000,-12927757.750000,0.000000,3507514,3507514,0,deposits
20250916,47400918.250000,,,19551729434.314500,19551729434.314500,0.000000,8235.070000,8235.070000,0.000000,107132489.880000,107132489.880000,0.000000,3508255,3508255,0,deposits
20250917,42101303.760000,,,19701487593.774500,19701487593.774500,0.000000,8170.030000,8170.030000,0.000000,137816484.100000,137816484.100000,0.000000,3508595,3508595,0,deposits
20250918,45925032.670000,,,19832036441.964500,19832036441.964500,0.000000,8242.250000,8242.250000,0.000000,104987202.290000,104987202.290000,0.000000,3514348,3514348,0,deposits
20250919,37403298.090000,,,19679596806.804500,19679596806.804500,0.000000,6397.210000,6397.210000,0.000000,-170687501.260000,-170687501.260000,0.000000,3515051,3515051,0,deposits
20250920,9776219.000000,,,19685981914.094500,19685981914.094500,0.000000,,,,1918402.370000,1918402.370000,0.000000,3515223,3515223,0,deposits
20250921,10112103.160000,,,19634084871.714500,19634084871.714500,0.000000,,,,-58493231.190000,-58493231.190000,0.000000,3515477,3515477,0,deposits
20250922,53756229.440000,,,19352986813.494500,19352986813.494500,0.000000,9525.140000,9525.140000,0.000000,-296132569.040000,-296132569.040000,0.000000,3516187,3516187,0,deposits
20250923,46731549.960000,,,19225728936.504500,19225728936.504500,0.000000,7258.990000,7258.990000,0.000000,-149249360.980000,-149249360.980000,0.000000,3516663,3516663,0,deposits
20250924,39912931.100000,,,19355689469.674500,19355689469.674500,0.000000,5778.150000,5778.150000,0.000000,112178050.750000,112178050.750000,0.000000,3517238,3517238,0,deposits
20250925,47181366.920000,,,18816507182.674500,18816507182.674500,0.000000,18279.810000,18279.810000,0.000000,-559462490.280000,-559462490.280000,0.000000,3517854,3517854,0,deposits
20250926,42631470.550000,,,19041895560.324500,19041895560.324500,0.000000,6070.680000,6070.680000,0.000000,210306265.100000,210306265.100000,0.000000,3518473,3518473,0,deposits
20250927,9656420.980000,,,19035656452.744500,19035656452.744500,0.000000,,,,-10991492.430000,-10991492.430000,0.000000,3518664,3518664,0,deposits
20250928,11069770.130000,,,19235940522.894500,19235940522.894500,0.000000,,,,194754241.780000,194754241.780000,0.000000,3518979,3518979,0,deposits
20250929,47871583.620000,,,19405054801.894500,19405054801.894500,0.000000,12854.490000,12854.490000,0.000000,151552141.520000,151552141.520000,0.000000,3520810,3520810,0,deposits
20250930,44958021.140000,,,19351406243.364500,19351406243.364500,0.000000,6202.210000,6202.210000,0.000000,-63985194.700000,-63985194.700000,0.000000,3529398,3529398,0,deposits
20251001,54215224.960000,,,19856918046.924500,19856918046.924500,0.000000,7257.040000,7257.040000,0.000000,465494345.240000,465494345.240000,0.000000,3531941,3531941,0,deposits
20251002,52852795.560000,,,20147814996.174500,20147814996.174500,0.000000,7223.130000,7223.130000,0.000000,270931274.350000,270931274.350000,0.000000,3533372,3533372,0,deposits
20251003,45455483.850000,,,20168424394.924500,20168424394.924500,0.000000,6991.700000,6991.700000,0.000000,602018.600000,602018.600000,0.000000,3533676,3533676,0,deposits
20251004,10680043.020000,,,20057475739.294500,20057475739.294500,0.000000,,,,-118200879.200000,-118200879.200000,0.000000,3533389,3533389,0,deposits
20251005,14277865.820000,,,20098611751.074500,20098611751.074500,0.000000,,,,32295331.640000,32295331.640000,0.000000,3533760,3533760,0,deposits
20251006,61812136.080000,,,20404604343.764500,20404604343.764500,0.000000,7964.150000,7964.150000,0.000000,266083537.780000,266083537.780000,0.000000,3535024,3535024,0,deposits
20251007,54008062.890000,,,19966937741.214500,19966937741.214500,0.000000,6620.270000,6620.270000,0.000000,-457455342.980000,-457455342.980000,0.000000,3535666,3535666,0,deposits
20251008,49000587.170000,,,20237274134.914500,20237274134.914500,0.000000,18752.550000,18752.550000,0.000000,245275952.070000,245275952.070000,0.000000,3536287,3536287,0,deposits
20251009,54091140.550000,,,20024655198.224500,20024655198.224500,0.000000,7196.970000,7196.970000,0.000000,-226036997.920000,-226036997.920000,0.000000,3537331,3537331,0,deposits
20251010,69910021.470000,,,18613477982.314500,18613477982.314500,0.000000,32909.670000,32909.670000,0.000000,-1424528881.140000,-1424528881.140000,0.000000,3538248,3538248,0,deposits
20251011,35488880.810000,,,18512072975.474500,18512072975.474500,0.000000,,,,-120544878.150000,-120544878.150000,0.000000,3538810,3538810,0,deposits
20251012,24673909.630000,,,19031479172.354500,19031479172.354500,0.000000,,,,502716015.540000,502716015.540000,0.000000,3539736,3539736,0,deposits
20251013,62570553.530000,,,19452188864.504500,19452188864.504500,0.000000,7844.210000,7844.210000,0.000000,394558006.440000,394558006.440000,0.000000,3541141,3541141,0,deposits
20251014,54867737.820000,,,19175628200.724500,19175628200.724500,0.000000,6364.870000,6364.870000,0.000000,-292107124.430000,-292107124.430000,0.000000,3541626,3541626,0,deposits
20251015,70190313.340000,,,19026743489.174500,19026743489.174500,0.000000,23556.490000,23556.490000,0.000000,-171060734.050000,-171060734.050000,0.000000,3542510,3542510,0,deposits
20251016,82834190.900000,,,18699332853.364500,18699332853.364500,0.000000,3899.970000,3899.970000,0.000000,-352257375.580000,-352257375.580000,0.000000,3543316,3543316,0,deposits
20251017,84873354.470000,,,18516501447.454500,18516501447.454500,0.000000,10135.970000,10135.970000,0.000000,-178359497.900000,-178359497.900000,0.000000,3543889,3543889,0,deposits
20251018,11362655.260000,,,18633917497.844500,18633917497.844500,0.000000,,,,112926944.490000,112926944.490000,0.000000,3544095,3544095,0,deposits
20251019,15366107.660000,,,18753805362.064500,18753805362.064500,0.000000,,,,117533794.390000,117533794.390000,0.000000,3544501,3544501,0,deposits
20251020,64115567.390000,,,19074419185.384500,19074419185.384500,0.000000,6422.820000,6422.820000,0.000000,311257979.230000,311257979.230000,0.000000,3545600,3545600,0,deposits
20251021,61897196.370000,,,18747116771.964500,18747116771.964500,0.000000,4926.140000,4926.140000,0.000000,-303639118.910000,-303639118.910000,0.000000,3546019,3546019,0,deposits
20251022,58488830.440000,,,18463576315.734500,18463576315.734500,0.000000,5326.010000,5326.010000,0.000000,-275033143.900000,-275033143.900000,0.000000,3550757,3550757,0,deposits
20251023,49078184.170000,,,18784026874.234500,18784026874.234500,0.000000,6586.110000,6586.110000,0.000000,314553132.360000,314553132.360000,0.000000,3551342,3551342,0,deposits
20251024,46047174.370000,,,19023847036.204500,19023847036.204500,0.000000,5965.080000,5965.080000,0.000000,231193248.660000,231193248.660000,0.000000,3551849,3551849,0,deposits
20251025,10906370.750000,,,19104051434.264500,19104051434.264500,0.000000,,,,75639643.940000,75639643.940000,0.000000,3552029,3552029,0,deposits
20251026,12066175.690000,,,19330035839.324500,19330035839.324500,0.000000,,,,223927118.090000,223927118.090000,0.000000,3552264,3552264,0,deposits
20251027,61484677.490000,,,19421127550.204500,19421127550.204500,0.000000,7453.810000,7453.810000,0.000000,87315033.280000,87315033.280000,0.000000,3553292,3553292,0,deposits
20251028,57853757.340000,,,19323763491.524500,19323763491.524500,0.000000,5449.600000,5449.600000,0.000000,-112649108.580000,-112649108.580000,0.000000,3554136,3554136,0,deposits
20251029,67287861.600000,,,19194514017.584500,19194514017.584500,0.000000,4676.510000,4676.510000,0.000000,-142940239.060000,-142940239.060000,0.000000,3554516,3554516,0,deposits
20251030,64493351.860000,,,18882819867.344500,18882819867.344500,0.000000,4918.270000,4918.270000,0.000000,-325766272.070000,-325766272.070000,0.000000,3560383,3560383,0,deposits
20251031,47573042.390000,,,19016990074.814500,19016990074.814500,0.000000,19285.470000,19285.470000,0.000000,124875970.780000,124875970.780000,0.000000,3561150,3561150,0,deposits
20251101,13649721.170000,,,19058283131.094500,19058283131.094500,0.000000,,,,35113171.800000,35113171.800000,0.000000,3561329,3561329,0,deposits
20251102,12618304.550000,,,19102559463.624500,19102559463.624500,0.000000,,,,35554074.210000,35554074.210000,0.000000,3563477,3563477,0,deposits
20251103,65314813.550000,,,18593645286.944500,18593645286.944500,0.000000,6446.930000,6446.930000,0.000000,-519812071.420000,-519812071.420000,0.000000,3564833,3564833,0,deposits
20251104,75081136.020000,,,17945616829.194500,17945616829.194500,0.000000,4527.210000,4527.210000,0.000000,-650348903.410000,-650348903.410000,0.000000,3565112,3565112,0,deposits
20251105,57849914.290000,,,18349625232.564500,18349625232.564500,0.000000,3822.090000,3822.090000,0.000000,394088637.430000,394088637.430000,0.000000,3565788,3565788,0,deposits
20251106,53933734.880000,,,17895378375.794500,17895378375.794500,0.000000,6857.450000,6857.450000,0.000000,-456857947.880000,-456857947.880000,0.000000,3566254,3566254,0,deposits
20251107,55614789.650000,,,18186766756.684500,18186766756.684500,0.000000,5526.970000,5526.970000,0.000000,285249877.290000,285249877.290000,0.000000,3566749,3566749,0,deposits
20251108,9766691.320000,,,18103600132.704500,18103600132.704500,0.000000,,,,-86305745.680000,-86305745.680000,0.000000,3566844,3566844,0,deposits
