source_schema,catalog,uc_schema,uc_table,col_count,commented,missing,pct_commented
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,24,24,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,18,18,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,27,27,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,30,30,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_demo_cid_panel,9,9,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositusersfirsttouchpoints,38,38,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_reversals,45,45,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_fact_customer_action_position_distribution,40,40,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_finance_etoro_vs_positions,40,40,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_interestdaily,23,23,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_investorsdetail,19,19,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_kyc_knowledge_assessment,23,23,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_kyc_panel,128,128,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ltv_bi_actual,30,30,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily,100,100,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,100,100,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_in_new_management_dashboard,27,27,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_newbonusreport,20,20,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_operations_onboarding_flow_userkpis,85,85,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_fraud_alert_analysis,56,56,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_kyc_verification,29,29,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,30,30,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_pi_statuspanel,13,13,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_rolloverfee_dividends,21,21,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_scored_appropriateness_negative_market,35,35,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_tax_compliance_tin,16,16,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_dim_revenue_metrics,6,6,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_dwh_cids7daysdeviation,7,7,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_dwh_cidsdailyrisk,8,8,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_alldeposits,129,129,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_kyc_score_cid_level,11,11,0,100.0
BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_outliers_new,30,30,0,100.0
BI_DB_dbo,main,pii_data,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,139,139,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,22,22,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_bny_virtu_reconeodholding,31,31,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_duco_activityrecon,28,28,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_riskmatrix_v2,62,62,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_saxorecon_eodholdings,36,36,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_staking_summary,34,34,0,100.0
Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_v_dealing_duco_eodrecon,30,30,0,100.0
Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_dealingdashboard_clients,48,48,0,100.0
Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_duco_eodrecon,29,29,0,100.0
Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_numberofpositionsopened_agg,9,9,0,100.0
Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_staking_results,24,24,0,100.0
eMoney_dbo,main,emoney,gold_sql_dp_prod_we_emoney_dbo_emoney_customer_risk_assessment,123,123,0,100.0
eMoney_dbo,main,emoney,gold_sql_dp_prod_we_emoney_dbo_emoney_customer_risk_assessment_history,123,123,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_card_instance_summary,18,18,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_dim_account,89,89,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_dim_country_rollout,7,7,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,77,77,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,77,77,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_panel_firstdates,65,65,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_panel_retention_monthly,86,86,0,100.0
eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_reports_acquisitionfunnel,15,15,0,100.0
