idx,uc_target,column,status,error
76,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,etr_y,OK,
77,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,etr_ym,OK,
78,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,etr_ymd,OK,
79,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,etr_y,OK,
80,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,etr_ym,OK,
81,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,etr_ymd,OK,
82,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown`. SQLSTATE: 428FR"
83,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown`. SQLSTATE: 428FR"
84,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown`. SQLSTATE: 428FR"
85,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata`. SQLSTATE: 428FR"
86,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata`. SQLSTATE: 428FR"
