ProcedureName,TableName,FrequencySP,ProcessName,Priority,max_update,modify_date,freshness_method,tableau_workbooks,total_views_sum,newest_wb_updated,newest_wb_age_days,is_feeder,verdict,decision
Dealing_dbo.SP_Rev_Assurance,Dealing_dbo.Dealing_Rollover_Assurance,Daily,SB_Daily,0,5/31/2026 6:32,5/17/2026 14:55,UpdateDate,1,431,11/28/2023,915,,KEEP,
Dealing_dbo.SP_Rev_Assurance,Dealing_dbo.Dealing_Commission_Assurance,Daily,SB_Daily,0,5/31/2026 6:21,11/26/2023 12:37,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Run_NOP_Report,Dealing_dbo.Dealing_NOP_Report,Daily,SB_Daily,0,5/30/2026 15:03,3/17/2024 7:03,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Run_Recon,Dealing_dbo.Dealing_GSReconTrades,Daily,SB_Daily,0,5/30/2026 12:02,10/29/2024 7:02,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Run_Recon,Dealing_dbo.Dealing_ApexRecon_Holdings,Daily,SB_Daily,0,5/30/2026 12:03,2/14/2024 12:26,UpdateDate,0,0,,,Y,B_FEEDER_KEEP,
Dealing_dbo.SP_Run_Recon,Dealing_dbo.Dealing_ApexRecon_TradeActivity,Daily,SB_Daily,0,5/30/2026 12:03,2/14/2024 12:31,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_Run_Recon,Dealing_dbo.Dealing_GSReconEODHolding,Daily,SB_Daily,0,5/30/2026 12:02,10/29/2024 7:01,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_SAXO_Recon,Dealing_dbo.Dealing_SAXORecon_EODHoldings,Daily,SB_Daily,0,5/30/2026 12:03,2/23/2025 10:44,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_SAXO_Recon,Dealing_dbo.Dealing_SAXORecon_Trades,Daily,SB_Daily,0,5/30/2026 12:04,2/23/2025 10:43,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_SAXO_Recon_FXnCommed,Dealing_dbo.Dealing_SaxoRecon_FXnCommed_EODHoldings,Daily,SB_Daily,0,5/30/2026 6:37,4/14/2024 8:03,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
Dealing_dbo.SP_SpreadsMST,Dealing_dbo.Dealing_SpreadsMST,Daily,SB_Daily,0,5/31/2026 6:29,8/3/2023 8:43,UpdateDate,0,0,,,,B_NO_TABLEAU_CONSUMER,
