ProcedureName,TableName,FrequencySP,ProcessName,Priority,blacklist_reason,source_phase,source_verdict,max_update,modify_date,days_stale
BI_DB_dbo.SP_M_LTV_BI_Actual_Snapshot,BI_DB_dbo.BI_DB_LTV_BI_Actual_Monthly_Snapshot,Monthly,SB_Daily,20,A4_MONTHLY,A0,A4_MONTHLY,,,
Dealing_dbo.SP_M_CryptoRebateDiamond,Dealing_dbo.Dealing_Unrealized_CryptoRebate,Monthly,SB_Daily,20,A4_MONTHLY,A0,A4_MONTHLY,,,
BI_DataBrick-dealing_premier_clinet_report,analysis/BI_OUTPUT/Dealing/Premier_Clinet_report,Daily,SB_Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-DDR_Fact_Revenue_Generating_Actions,Gold/sql_dp_prod_we/BI_DB_dbo/BI_DB_DDR_Fact_Revenue_Generating_Actions,Daily,Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-Dealing_Bloomberg_holdings_pct_of_mktcap,analysis/BI_OUTPUT/Dealing/bloomberg_holdings_pct_of_mktcap_cids,Daily,Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-Dealing_premier_customer,analysis/BI_OUTPUT/Dealing/Premier_Customer,Monthly,Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-Dealing-Premier_Clients_positions_monthly_report_M,analysis/BI_OUTPUT/Dealing/premier_customer_2026,Monthly,SB_Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-SP_External_Club_Service_Balance_Main,bi_output_customer_external_table_club_equity,Daily,Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-SP_PI_Diversification,BI_OUTPUT/Complaince/PI_Diversification,Daily,Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DataBricks-Voice-Of-The-Customer-Messages,main.de_output.de_output_voice_of_the_customer_messagingsession,Daily,Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DB_dbo.SP_AML_Email_for_KYT,BI_DB_dbo.BI_DB_AML_Email_for_KYT,Daily,SB_Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DB_dbo.SP_BI_AMLPeriodicReview_PostReview,BI_DB_dbo.BI_DB_AMLPeriodicReview_PostReview,Daily,SB_Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
BI_DB_dbo.SP_Create_External_customerfinancedb_customer_globalftds,CopyFromLake.customerfinancedb_customer_globalftds,Daily,SB_Daily,0,A4_NEVER_SUCCEEDED,A0,A4_NEVER_SUCCEEDED,,,
