ProcedureName,ProcessName,Priority,IsActive,schema_prefix
Dealing_staging.SP_Copy_etoro_Trade_InstrumentToFeeConfig,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_etoro_Trade_LiquidityAccounts,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_Etoro_Trading_IndexDividends,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_etoroGeneral_History_GuruCopiers,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_EMSOrders,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_RequestExecutionLog,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Copy_eToroLogs_Real_Hedge_RequestLimitExecutionLog,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Copy_PriceLog_History_CurrencyPrice,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Copy_PricesFromProvider_MarketCurrencyPrice,SB_Daily,20,0,Dealing_staging
Dealing_staging.SP_Create_External_CalendarDB_Market_MergedDailySchedules,SB_Daily,20,1,Dealing_staging
Dealing_staging.SP_Create_External_CalendarDB_Market_ProvidersExchangeDailySchedules,SB_Daily,20,1,Dealing_staging
