class,phrase,table_fqn,query_count,unique_users,owning_skill_id,hub_skill_id,genie_space_id,genie_space_name,registered_table_count,actual_used_table_count,unused_registered_count,unregistered_used_count,used_not_documented_count,top_used_tables,unused_registered_sample,unregistered_used_sample,used_not_documented_sample,suggested_action
A,liquidityaccountname,,23,,lp-contracts-and-cogs,domain-trading,,,,,,,,,,,,PROMOTE phrase 'liquidityaccountname' from sub-skill triggers to hub 'domain-trading' triggers
A,liquidityaccountname,,23,,lp-contracts-and-cogs,domain-trading,,,,,,,,,,,,PROMOTE phrase 'liquidityaccountname' from sub-skill triggers to hub 'domain-trading' triggers
A,idisin,,23,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'idisin' from sub-skill triggers to hub 'domain-trading' triggers
A,future,,23,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'future' from sub-skill triggers to hub 'domain-trading' triggers
A,volumeclose,,22,,trading-volumes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'volumeclose' from sub-skill triggers to hub 'domain-trading' triggers
A,global_ftda,,22,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'global_ftda' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,global_ftda,,22,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'global_ftda' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,iban,,22,,fees-deposit-withdraw-fx,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'iban' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,iban,,22,,trading-volumes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'iban' from sub-skill triggers to hub 'domain-trading' triggers
A,transactions,,22,,trading-volumes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'transactions' from sub-skill triggers to hub 'domain-trading' triggers
A,transactions,,22,,crypto-wallet,domain-payments,,,,,,,,,,,,PROMOTE phrase 'transactions' from sub-skill triggers to hub 'domain-payments' triggers
A,transactions,,22,,revenue-moneyfarm,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'transactions' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,aml_risk,,22,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'aml_risk' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,aml_risk,,22,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'aml_risk' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,aml_risk,,22,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'aml_risk' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,isfuture,,22,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'isfuture' from sub-skill triggers to hub 'domain-trading' triggers
A,investors,,22,,customer-models-and-segmentation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'investors' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,gcid_unique_count,,22,,emoney-accounts-and-cards,domain-payments,,,,,,,,,,,,PROMOTE phrase 'gcid_unique_count' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,fees-deposit-withdraw-fx,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,depot,,22,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-payments' triggers
A,depot,,22,,fees-deposit-withdraw-fx,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'depot' from sub-skill triggers to hub 'domain-revenue-and-fees' triggers
A,tangany,,22,,customer-master-record,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'tangany' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,euro,,21,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'euro' from sub-skill triggers to hub 'domain-trading' triggers
A,tp_ftda,,21,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'tp_ftda' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
A,tp_ftda,,21,,identity-jurisdiction-and-regulation,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'tp_ftda' from sub-skill triggers to hub 'domain-customer-and-identity' triggers
