column_name,occurrence_count,distinct_tables
user_first_position_open_to_close_minutes_log1p,13,13
UnitsNOP+100%,13,13
UnitsNOP+25%,13,13
UnitsNOP-6%,13,13
IsReOpen,13,13
NOP_23,13,13
CollateralPercent,13,13
SubReport,13,13
job_id,13,13
Title,13,13
UnitsNOP+60%,13,13
Approved,13,13
UnitsNOP-30%,13,13
variant,13,13
InsertTime,13,13
NOP_19,13,13
UnitsNOP-7%,13,13
user_withdraw_most_in_1m,13,13
friend_withdraw_most_in_1w,13,13
uniqueID,13,13
NOP_6,13,13
EventId,13,13
NOP_28,13,13
UnitsNOP+1%,13,13
Update_Date,13,13
NOP_27,13,13
UnitsNOP-80%,13,13
UnitsNOP+30%,13,13
UnitsNOP-1%,13,13
UnitsNOP+6%,13,13
UnitsNOP+15%,13,13
NOP_21,13,13
NOP_1,13,13
quantity,13,13
comments,13,13
NOP_CFD,13,13
UnitsNOP+10%,13,13
StocksLendingStatusID,13,13
UnitsNOP-90%,13,13
_ts,13,13
WithdrawPaymentID,13,13
TotalZero,13,13
BSLRealFunds,13,13
UnitsNOP-40%,13,13
NOP_9,13,13
SigmaDate,13,13
UnitsNOP+5%,13,13
LoanQuantity,13,13
NOP_26,13,13
TriggeringOrderID,13,13
UnitsNOP-8%,13,13
NOP_25,13,13
UnitsNOP-4%,13,13
_rid,13,13
Duration,13,13
OpenTotalTaxes,13,13
UnitsNOP+9%,13,13
UnitsNOP+7%,13,13
NOP_13,13,13
UnitsNOP+3%,13,13
UnitsNOP+200%,13,13
RequestedAmountInUnits,13,13
friend_v2_v1_diff_log1p,13,13
UnitsNOP-2%,13,13
UnitsNOP-5%,13,13
Provider_Name,13,13
NOP_8,13,13
ServerName,13,13
ScreeningStatus,13,13
UnitsNOP+900%,13,13
NOP_3,13,13
video_views,13,13
Special_OvernightFee,13,13
real_user_club_ordered,13,13
