normalized_concept,hub_count,claiming_hubs,variant_count,variants,file_count,source_fields
active options trader buy or sell,1,domain-options,1,active options trader buy or sell,1,triggers
active position,1,domain-trading,1,active position,1,triggers
active trader,1,domain-customer-and-identity,1,active trader,2,triggers
active trader count,1,domain-trading,1,active trader count,1,triggers
active traders,1,domain-customer-and-identity,1,active traders,1,triggers
active traders today vs last month,1,domain-customer-and-identity,1,Active traders today vs last month?,1,sample_questions
active vs balance-only vs portfolio-only segmentation on date d,1,domain-payments,1,Active vs balance-only vs portfolio-only segmentation on date D,1,sample_questions
activetraded,1,domain-customer-and-identity,1,ActiveTraded,1,triggers
activetradedcfd,1,domain-customer-and-identity,1,ActiveTradedCFD,1,triggers
activetradedcopy,1,domain-customer-and-identity,1,ActiveTradedCopy,1,triggers
activetradedcopyfund,1,domain-customer-and-identity,1,ActiveTradedCopyFund,1,triggers
activetradedcryptocfd,1,domain-customer-and-identity,1,ActiveTradedCryptoCFD,1,triggers
activetradedcryptoreal,1,domain-customer-and-identity,1,ActiveTradedCryptoReal,1,triggers
activetradedetfcfd,1,domain-customer-and-identity,1,ActiveTradedETFCFD,1,triggers
activetradedetfreal,1,domain-customer-and-identity,1,ActiveTradedETFReal,1,triggers
activetradedmanual,1,domain-customer-and-identity,1,ActiveTradedManual,1,triggers
activetradedoptions,1,domain-customer-and-identity,1,ActiveTradedOptions,1,triggers
activetradedstockscfd,1,domain-customer-and-identity,1,ActiveTradedStocksCFD,1,triggers
activetradedstocksreal,1,domain-customer-and-identity,1,ActiveTradedStocksReal,1,triggers
actualairdropunits,1,domain-staking,1,ActualAirdropUnits,2,triggers
actualcompensationtype,1,domain-staking,1,ActualCompensationType,2,triggers
actualnwa,1,domain-trading,1,ActualNWA,1,triggers
ada,1,domain-staking,1,ADA,2,triggers
adaeur,1,domain-staking,1,ADAEUR,3,triggers
add currency,1,domain-staking,1,add currency,1,triggers
adhoccampaignmarketing,1,domain-marketing-and-acquisition,1,AdHocCampaignMarketing,2,triggers
adhoccampaignoperational,1,domain-marketing-and-acquisition,1,AdHocCampaignOperational,2,triggers
admin fee,1,domain-revenue-and-fees,1,admin fee,1,triggers
adminfee,1,domain-revenue-and-fees,1,AdminFee,2,triggers
adtiming_int,1,domain-marketing-and-acquisition,1,adtiming_int,1,triggers
advertisingid,1,domain-marketing-and-acquisition,1,AdvertisingID,2,triggers
advertisingid null,1,domain-marketing-and-acquisition,1,AdvertisingID null,1,triggers
affiliate,1,domain-marketing-and-acquisition,1,affiliate,1,triggers
affiliate commission,1,domain-marketing-and-acquisition,1,affiliate commission,1,triggers
affiliate deposit,1,domain-customer-and-identity,1,Affiliate Deposit,1,triggers
affiliate_contact,1,domain-marketing-and-acquisition,1,affiliate_contact,1,triggers
affiliate_payments_report,1,domain-marketing-and-acquisition,1,affiliate_payments_report,2,triggers
affiliategroup,1,domain-marketing-and-acquisition,1,AffiliateGroup,1,triggers
affiliateid,1,domain-marketing-and-acquisition,1,AffiliateID,2,triggers
affiliatesgroupsid,1,domain-marketing-and-acquisition,1,AffiliatesGroupsID,1,triggers
affiliatesgroupsname,1,domain-marketing-and-acquisition,1,AffiliatesGroupsName,2,triggers
agent quality scores for a cid s cases who handled them,1,domain-customer-and-identity,1,Agent quality scores for a CID's cases — who handled them?,1,sample_questions
agent_under_assessment,1,domain-customer-and-identity,1,Agent_Under_Assessment,1,triggers
aggregated_balances cte,1,domain-moneyfarm,1,aggregated_balances CTE,1,triggers
ai_doc_checking_alert_history,1,domain-ops-and-onboarding,1,ai_doc_checking_alert_history,2,triggers
ai_doc_verification_checks,1,domain-ops-and-onboarding,1,ai_doc_verification_checks,2,triggers
ai_documenttype,1,domain-ops-and-onboarding,1,AI_DocumentType,1,triggers
ai_outcome,1,domain-ops-and-onboarding,1,AI_Outcome,1,triggers
ai_reason,1,domain-ops-and-onboarding,1,AI_Reason,1,triggers
aicheckid,1,domain-ops-and-onboarding,1,AiCheckID,2,triggers
airdrop,1,domain-marketing-and-acquisition,1,airdrop,2,triggers
airdrop failed,1,domain-staking,1,airdrop failed,1,triggers
airdrop list,1,domain-staking,1,airdrop list,1,triggers
airdrop pipeline,1,domain-staking,1,airdrop pipeline,1,triggers
airdrop_configuration,1,domain-marketing-and-acquisition,1,airdrop_configuration,2,triggers
airdrop_customer,1,domain-marketing-and-acquisition,1,airdrop_customer,2,triggers
airdrop_financial_metrics,1,domain-product-analytics,1,airdrop_financial_metrics,2,triggers
airdropbronze,1,domain-staking,1,AirDropBronze,2,triggers
airdropclubs,1,domain-staking,1,AirDropClubs,2,triggers
airdropid,1,domain-staking,1,AirdropID,2,triggers
